x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,3.826213049363370866e-02
1.001001001001000992e-02,3.831913236679414182e-04,3.861502922992755132e-02
2.002002002002001985e-02,7.734581362350490463e-04,3.932331676164112222e-02
3.003003003003002977e-02,1.170850946475704858e-03,4.003657063915082998e-02
4.004004004004003969e-02,1.575419622997525741e-03,4.075472422343781598e-02
5.005005005005004615e-02,1.987213369782758927e-03,4.147770840033807027e-02
6.006006006006005954e-02,2.406280701428458509e-03,4.220545155177195945e-02
7.007007007007007293e-02,2.832669418087210584e-03,4.293787952724496121e-02
8.008008008008007939e-02,3.266426580110363617e-03,4.367491561563942304e-02
9.009009009009008584e-02,3.707598482395880937e-03,4.441648051731506008e-02
1.001001001001000923e-01,4.156230628443086973e-03,4.516249231653736429e-02
1.101101101101101126e-01,4.612367704116783138e-03,4.591286645425357582e-02
1.201201201201201191e-01,5.076053551123365336e-03,4.666751570123687382e-02
1.301301301301301394e-01,5.547331140201784173e-03,4.742635013161630719e-02
1.401401401401401459e-01,6.026242544032329833e-03,4.818927709681409405e-02
1.501501501501501523e-01,6.512828909866459973e-03,4.895620119991142549e-02
1.601601601601601588e-01,7.007130431881082415e-03,4.972702427046125223e-02
1.701701701701701652e-01,7.509186323260831457e-03,5.050164533977036241e-02
1.801801801801801717e-01,8.019034788012196699e-03,5.127996061667113026e-02
1.901901901901901781e-01,8.536712992513434406e-03,5.206186346380395347e-02
2.002002002002001846e-01,9.062257036804520147e-03,5.284724437443238249e-02
2.102102102102102188e-01,9.595701925621527226e-03,5.363599094981184173e-02
2.202202202202202252e-01,1.013708153918006089e-02,5.442798787713199610e-02
2.302302302302302317e-01,1.068642860371261070e-02,5.522311690805953299e-02
2.402402402402402382e-01,1.124377466176489614e-02,5.602125683789623695e-02
2.502502502502502724e-01,1.180915004225645791e-02,5.682228348538067436e-02
2.602602602602602788e-01,1.238258383031107593e-02,5.762606967314939932e-02
2.702702702702702853e-01,1.296410383686273128e-02,5.843248520888823239e-02
2.802802802802802917e-01,1.355373656804311627e-02,5.924139686718585956e-02
2.902902902902902982e-01,1.415150719435690971e-02,6.005266837211881148e-02
3.003003003003003046e-01,1.475743951965129835e-02,6.086616038058920153e-02
3.103103103103103111e-01,1.537155594988647012e-02,6.168173046643406904e-02
3.203203203203203175e-01,1.599387746171398658e-02,6.249923310533353482e-02
3.303303303303303240e-01,1.662442357087034681e-02,6.331851966053561598e-02
3.403403403403403304e-01,1.726321230039308888e-02,6.413943836942173626e-02
3.503503503503503369e-01,1.791026014866725635e-02,6.496183433093678794e-02
3.603603603603603434e-01,1.856558205731012948e-02,6.578554949390225115e-02
3.703703703703703498e-01,1.922919137890254440e-02,6.661042264623717735e-02
3.803803803803803563e-01,1.990109984457521033e-02,6.743628940510794367e-02
3.903903903903903627e-01,2.058131753145890988e-02,6.826298220802951011e-02
4.004004004004003692e-01,2.126985283000754068e-02,6.909033030493681726e-02
4.104104104104104311e-01,2.196671241120334850e-02,6.991815975125235949e-02
4.204204204204204376e-01,2.267190119365393788e-02,7.074629340196707250e-02
4.304304304304304440e-01,2.338542231059093091e-02,7.157455090675826637e-02
4.404404404404404505e-01,2.410727707678041176e-02,7.240274870616608682e-02
4.504504504504504570e-01,2.483746495535559679e-02,7.323070002884458918e-02
4.604604604604604634e-01,2.557598352458236371e-02,7.405821488991323753e-02
4.704704704704704699e-01,2.632282844456876672e-02,7.488510009042809168e-02
4.804804804804804763e-01,2.707799342392966033e-02,7.571115921798837745e-02
4.904904904904904828e-01,2.784147018641807206e-02,7.653619264850625159e-02
5.005005005005005447e-01,2.861324843753521724e-02,7.735999754914614501e-02
5.105105105105105512e-01,2.939331583113106647e-02,7.818236788246883673e-02
5.205205205205205576e-01,3.018165793600826111e-02,7.900309441178772485e-02
5.305305305305305641e-01,3.097825820254168638e-02,7.982196470775868025e-02
5.405405405405405705e-01,3.178309792932702826e-02,8.063876315621962276e-02
5.505505505505505770e-01,3.259615622987132449e-02,8.145327096730205219e-02
5.605605605605605835e-01,3.341740999933936335e-02,8.226526618583338002e-02
5.705705705705705899e-01,3.424683388136961354e-02,8.307452370303586298e-02
5.805805805805805964e-01,3.508440023497391008e-02,8.388081526954715983e-02
5.905905905905906028e-01,3.593007910153530465e-02,8.468390950978112175e-02
6.006006006006006093e-01,3.678383817191890892e-02,8.548357193763843342e-02
6.106106106106106157e-01,3.764564275371064250e-02,8.627956497359041965e-02
6.206206206206206222e-01,3.851545573859942173e-02,8.707164796313154875e-02
6.306306306306306286e-01,3.939323756991788827e-02,8.785957719664000409e-02
6.406406406406406351e-01,4.027894621035827544e-02,8.864310593065348465e-02
