x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,5.375900562043642306e-02
2.002002002002002123e-01,1.077246397730499856e-02,5.375183722289184757e-02
4.004004004004004247e-01,2.154204941541445345e-02,5.373033199708401875e-02
6.006006006006006093e-01,3.230587777513282272e-02,5.369448984353440701e-02
8.008008008008008494e-01,4.306107051726457136e-02,5.364431059659151291e-02
1.001001001001001089e+00,5.380474910261415222e-02,5.357979402465003205e-02
1.201201201201201219e+00,6.453403499198602511e-02,5.350093983045756812e-02
1.401401401401401570e+00,7.524604964618464287e-02,5.340774765150910902e-02
1.601601601601601699e+00,8.593791452601445835e-02,5.330021706052923136e-02
1.801801801801801828e+00,9.660675109227993829e-02,5.317834756604194330e-02
2.002002002002002179e+00,1.072496808057855633e-01,5.304213861302843613e-02
2.202202202202202308e+00,1.178638251273357446e-01,5.289158958367254360e-02
2.402402402402402437e+00,1.284463055177349766e-01,5.272669979819413766e-02
2.602602602602602566e+00,1.389942434377877123e-01,5.254746851577040551e-02
2.802802802802803139e+00,1.495047603482984044e-01,5.235389493554512552e-02
3.003003003003003268e+00,1.599749777100714920e-01,5.214597819772594234e-02
3.203203203203203397e+00,1.704020169839114696e-01,5.192371738476980747e-02
3.403403403403403527e+00,1.807829996306227482e-01,5.168711152265655778e-02
3.603603603603603656e+00,1.911150471110098226e-01,5.143615958225073587e-02
3.803803803803804229e+00,2.013952808858771870e-01,5.117086048075177723e-02
4.004004004004004358e+00,2.116208224160292251e-01,5.089121308323258513e-02
4.204204204204204487e+00,2.217887931622704034e-01,5.059721620426663180e-02
4.404404404404404616e+00,2.318963145854052166e-01,5.028886860964362771e-02
4.604604604604604745e+00,2.419405081462381035e-01,4.996616901817393930e-02
4.804804804804804874e+00,2.519184953055735310e-01,4.962911610358171355e-02
5.005005005005005003e+00,2.618273975242159657e-01,4.927770849648695217e-02
5.205205205205205132e+00,2.716643362629698188e-01,4.891194478647657717e-02
5.405405405405406150e+00,2.814264329826395850e-01,4.853182352426455709e-02
5.605605605605606279e+00,2.911108091440298140e-01,4.813734322394126047e-02
5.805805805805806408e+00,3.007145862079447785e-01,4.772850236531213375e-02
6.006006006006006537e+00,3.102348856351890283e-01,4.730529939632575898e-02
6.206206206206206666e+00,3.196688288865670580e-01,4.686773273559150660e-02
6.406406406406406795e+00,3.290135374228832510e-01,4.641580077498679013e-02
6.606606606606606924e+00,3.382661327049421018e-01,4.594950188235405464e-02
6.806806806806807053e+00,3.474237361935481050e-01,4.546883440428768630e-02
7.007007007007007182e+00,3.564834693495056439e-01,4.497379666901086398e-02
7.207207207207207311e+00,3.654424536336192131e-01,4.446438698934247064e-02
7.407407407407407440e+00,3.742978105066933070e-01,4.394060366575425203e-02
7.607607607607608458e+00,3.830466614295323646e-01,4.340244498951821572e-02
7.807807807807808587e+00,3.916861278629408250e-01,4.284990924594445083e-02
8.008008008008008716e+00,4.002133312677231269e-01,4.228299471770941703e-02
8.208208208208208845e+00,4.086253931046837651e-01,4.170169968827486945e-02
8.408408408408408974e+00,4.169194348346271783e-01,4.110602244539738465e-02
8.608608608608609103e+00,4.250925779183578057e-01,4.049596128472875839e-02
8.808808808808809232e+00,4.331419438166801417e-01,3.987151451350713638e-02
9.009009009009009361e+00,4.410646539903986252e-01,3.923268045433914164e-02
9.209209209209209490e+00,4.488578299003177507e-01,3.857945744907297081e-02
9.409409409409409619e+00,4.565185930072419573e-01,3.791184386276254259e-02
9.609609609609609748e+00,4.640440647719757394e-01,3.722983808772270531e-02
9.809809809809809877e+00,4.714313666553233695e-01,3.653343854767567705e-02
1.001001001001001001e+01,4.786776201180895640e-01,3.582264370198862818e-02
1.021021021021021014e+01,4.857799466210785955e-01,3.509745205000246171e-02
1.041041041041041026e+01,4.927354676250950138e-01,3.435786213545183321e-02
1.061061061061061039e+01,4.995413045909432581e-01,3.360387255097645187e-02
1.081081081081081230e+01,5.061945789794277673e-01,3.283548194272355863e-02
1.101101101101101243e+01,5.126924122513530913e-01,3.205268901504161605e-02
1.121121121121121256e+01,5.190319258675235581e-01,3.125549253526525156e-02
1.141141141141141269e+01,5.252102412887436067e-01,3.044389133859123214e-02
1.161161161161161282e+01,5.312244799758178981e-01,2.961788433304559168e-02
1.181181181181181294e+01,5.370717633895506493e-01,2.877747050454175851e-02
1.201201201201201307e+01,5.427492129907465213e-01,2.792264892202956511e-02
1.221221221221221320e+01,5.482539502402097309e-01,2.705341874273506017e-02
1.241241241241241333e+01,5.535830965987450503e-01,2.616977921749106054e-02
1.261261261261261346e+01,5.587337735271565853e-01,2.527172969615812392e-02
1.281281281281281359e+01,5.637031024862491080e-01,2.435926963313603255e-02
1.301301301301301372e+01,5.684882049368269463e-01,2.343239859296535402e-02
1.321321321321321385e+01,5.730862023396945393e-01,2.249111625601902739e-02
1.341341341341341398e+01,5.774942161556563258e-01,2.153542242428370737e-02
1.361361361361361411e+01,5.817093678455168559e-01,2.056531702723062016e-02
1.381381381381381424e+01,5.857287788700804576e-01,1.958080012777563272e-02
1.401401401401401436e+01,5.895495706901519029e-01,1.858187192832825782e-02
1.421421421421421449e+01,5.931688647665351866e-01,1.756853277692928261e-02
1.441441441441441462e+01,5.965837825600350808e-01,1.654078317347665653e-02
1.461461461461461475e+01,5.997914455314559135e-01,1.549862377603924979e-02
1.481481481481481488e+01,6.027889751416022346e-01,1.444205540725808715e-02
1.501501501501501679e+01,6.055734928512783721e-01,1.337107906083461958e-02
1.521521521521521692e+01,6.081421201212889871e-01,1.228569590810561253e-02
1.541541541541541704e+01,6.104919784124382964e-01,1.118590730470400349e-02
1.561561561561561717e+01,6.126201891855309611e-01,1.007171479730543072e-02
1.581581581581581730e+01,6.145238739013713092e-01,8.943120130459631528e-03
1.601601601601601743e+01,6.162001540207640016e-01,7.800125253506324206e-03
1.621621621621621756e+01,6.176461510045130332e-01,6.642732327574707961e-03
1.641641641641641769e+01,6.188589863134232871e-01,5.470943732666222643e-03
1.661661661661661782e+01,6.198357814082993134e-01,4.284762074819483194e-03
1.681681681681681795e+01,6.205736577499452178e-01,3.084190193356964229e-03
1.701701701701701808e+01,6.210697367991654394e-01,1.869231168212495209e-03
1.721721721721721821e+01,6.213211400167648613e-01,6.398883273387618057e-04
1.741741741741741833e+01,6.213249888635474782e-01,-6.038347458060701464e-04
1.761761761761761846e+01,6.210784048003181734e-01,-1.861934204693441218e-03
1.781781781781781859e+01,6.205785092878808307e-01,-3.134405932082295725e-03
1.801801801801801872e+01,6.198224237870406661e-01,-4.421245532300573274e-03
1.821821821821821885e+01,6.188072697586014526e-01,-5.722448323451593405e-03
1.841841841841841898e+01,6.175301686633680731e-01,-7.038009329546198074e-03
1.861861861861861911e+01,6.159882419621447447e-01,-8.367923272561958448e-03
1.881881881881881924e+01,6.141786111157360173e-01,-9.712184564430530534e-03
1.901901901901901937e+01,6.120983975849463299e-01,-1.107078729895442752e-02
1.921921921921921950e+01,6.097447228305803435e-01,-1.244372524365452981e-02
1.941941941941941963e+01,6.071147083134422751e-01,-1.383099183154965460e-02
1.961961961961961975e+01,6.042054754943364525e-01,-1.523258015286949908e-02
1.981981981981981988e+01,6.010141458340676479e-01,-1.664848294670259049e-02
2.002002002002002001e+01,5.975378407934403002e-01,-1.807869259258055444e-02
2.022022022022022014e+01,5.937736818332585154e-01,-1.952320110200037734e-02
2.042042042042042027e+01,5.897187904143271764e-01,-2.098200010988620495e-02
2.062062062062062040e+01,5.853702879974503892e-01,-2.245508086599242586e-02
2.082082082082082053e+01,5.807252960434330369e-01,-2.394243422624975012e-02
